Restaurant Names,Rating,Rating Count,Latitude,Longitude
Arqayadzor,4.5,12,40.198288,44.551083
Daboo Bar,5.0,32,40.189556,44.515781
Old Erivan,3.0,211,40.184277,44.514969
L'Atelier,4.5,6,40.183098,44.510418
Charentsi 28 Restaurant,4.5,179,40.179295,44.527367
Arishta,5.0,2,40.206539,44.512508
Al Mayass Yerevan,4.5,38,40.189388,44.514519
Moon Cafe & Hookah Lounge,0.0,0,40.184711,44.509232
BayRoute Pub,4.5,3,40.183674,44.506168
Lebanon Tavern,3.5,10,40.189507,44.514915
Futuretour Teahouse,5.0,4,40.179996,44.517696
CoffeeStar,5.0,3,40.186028,44.516003
Level Eleven Rooftop Restaurant,4.5,12,40.180313,44.514687
Limone Cascade,5.0,793,40.189682,44.515354
Karas,4.0,5,40.217808,44.581909
Aroma Lounge,5.0,2,40.186497,44.519131
Rehani Grillhouse,5.0,4,40.190094,44.480972
Amigo Latino Club,4.5,30,40.189632,44.524754
Venice Restaurant & Cafe,0.0,0,40.197273,44.522060
The Italian Armenia,4.0,108,40.177105,44.516212
Kebabji,4.5,10,40.184006,44.513927
Pasticceria,0.0,0,40.178246,44.519783
ELIZA Cafe & Restaurant,0.0,0,40.174187,44.521641
Gemini Cafeteria,4.5,14,40.186111,44.512024
People's Gastro Cafe,4.5,9,40.189163,44.514889
Our Village / Mer Gyugh Restaurant,4.0,203,40.183277,44.516270
Dostoevsky Club Restaurant,4.0,1,40.164307,44.417480
Mane,4.5,16,40.177101,44.515930
Vinograd,5.0,508,40.177803,44.519108
Yum Yum Donuts,4.0,10,40.186005,44.521057
3 Bros - Corner Grill,4.5,7,40.183193,44.511990
The Kond House,4.5,8,40.180439,44.502907
Hin Zangezur Tavern,4.5,450,40.178131,44.504040
Verev Rooftop,5.0,32,40.181255,44.515705
Dari Pandok,5.0,38,40.179699,44.516479
Valem Plaza Restaurant,5.0,1,40.190994,44.472141
Sector Dacha,5.0,3,40.182167,44.524780
Minour,5.0,3,40.178921,44.509232
L'Orange,4.0,15,40.182957,44.516346
Fazenda Restaurant,0.0,0,40.229565,44.597466
Karas,0.0,0,40.151894,44.496807
Casa Del Vino,5.0,4,40.174335,44.521271
Sherep Restaurant,5.0,2442,40.178471,44.511311
Los Pueblos,4.5,67,40.190197,44.515816
Talk2Me English Cafe,0.0,0,40.186378,44.513611
Rialto Italian Diner - Cafe,4.5,46,40.186726,44.521137
Black Angus Yerevan,5.0,1740,40.180176,44.514652
Muscat Cafe,4.5,15,40.180664,44.510078
Trapeza Cafe Restaurant,5.0,9,40.182873,44.512676
Veg & Co. Yerevan - Vegetarian Cafe & More,0.0,0,40.183578,44.508701
Khurjin Tavern,5.0,44,40.198708,44.368725
New Tao,4.0,4,40.187141,44.510895
Magnolia Bar & Restaurant,4.0,30,40.185513,44.514050
Mr. Gyros,3.5,6,40.183151,44.515980
Degustation,4.5,8,40.203613,44.499313
Cafe Merci,5.0,40,40.180584,44.520226
Saryan’ Notes,4.5,13,40.187065,44.509697
"Suliko, Georgian Restaurant",4.0,22,40.183147,44.522545
Aires,5.0,42,40.182262,44.511749
JAZZVE Coffee,3.5,97,40.179295,44.513813
Gusto,4.0,83,40.182964,44.517887
Wine Time,5.0,18,40.176624,44.506115
Backyard,5.0,4,40.193768,44.504482
Mihul Indian Restaurant,4.5,21,40.185162,44.525459
Shiba Saloon Bar,5.0,4,40.181587,44.512897
Hans&Franz,3.5,88,40.186790,44.508465
Adastra Restaurant & Bar,3.5,2,40.197102,44.518539
La Boca,0.0,0,40.173466,44.506256
Babylon Restaurant,5.0,107,40.183178,44.507580
Igdir Restaurant Complex,4.5,11,40.187702,44.581421
Oud Mezze House,5.0,2,40.185631,44.511200
Poplavok Jazz Cafe,3.5,23,40.188316,44.518902
Sorriso Cafe Gelateria,4.5,98,40.181767,44.514210
La Villa,0.0,0,40.201038,44.567421
Bakeryerevan,5.0,17,40.178387,44.518116
Moyka Garage Bar,5.0,2,40.180386,44.503048
Like Cafe & Bar,5.0,6,4.542380,-75.670738
Buro,4.5,16,40.179714,44.515507
Das,4.0,1,40.189529,44.521023
Temurnots,4.0,52,40.189228,44.515865
Abu Hagop Restaurant,4.0,18,40.183201,44.512344
Mandarin Lounge,5.0,1,40.182228,44.520294
The Venue,4.5,8,40.188095,44.514004
Cafe Rich,2.5,51,40.184715,44.515526
Batoni Restaurant & Beer House,0.0,0,40.169586,44.507614
Eat&Fit Healthy Food Cafe,4.5,325,40.183754,44.507442
Asador,4.0,50,40.189064,44.519756
Forty-Nine Pub,0.0,0,40.185265,44.508678
At Artush,4.5,158,40.175171,44.509579
Yerevans,5.0,1,40.184139,44.511158
Wok&Roll,0.0,0,40.180676,44.522610
Sham Nargila,5.0,2,40.186584,44.525227
Nreni Restaurant,0.0,0,40.172371,44.519901
Armat,5.0,71,40.183922,44.513733
Kaskad Balkon,3.5,3,40.190228,44.515579
Havlabar,0.0,0,40.223614,44.505806
Jambo Exotic Park Restaurant,4.5,10,40.202839,44.641098
Yntaniq  Restaurant,0.0,0,40.157219,44.461601
The Coffee City,3.0,8,40.184116,44.514458
The Old Mill Tavern,4.0,2,40.219761,44.565144
El Chillout,5.0,61,40.186806,44.481415
Room5,5.0,44,40.186951,44.512302
Forty Four Sky Bar,5.0,8,40.189220,44.512466
Grand Candy,5.0,2,40.190208,44.519039
Marush Sweets Boutique,4.0,1,40.185944,44.518036
Wasabi,3.0,59,40.179840,44.514210
Salt & Pepper,4.5,19,40.181015,44.515617
La Piazza,4.0,193,40.182079,44.514786
The Coffee 23. 5,5.0,2,40.186993,44.509613
Local's by Baguettes & Delices,4.5,30,40.188644,44.517372
Giovanni Restaurant and Jisnots Bar,5.0,5,40.188408,44.516289
Art Cafe Van Gogh,4.5,31,40.185635,44.512482
Urartu Restaurant,3.5,8,40.182209,44.499020
Yard Yerevan,5.0,32,40.188049,44.522221
Byblos Grill and Bakery,5.0,17,40.183640,44.509304
Zangou Restaurant Complex,4.0,2,40.192478,44.483536
The Tolma,5.0,262,40.182556,44.516979
Keerk&Co,5.0,1,40.189274,44.512852
John 3:16 Street Food,5.0,2,40.177605,44.518940
Skyline Restaurant & Bar,5.0,1,40.176765,44.522827
Rooftop Official,4.5,10,40.184361,44.501751
Don Quixote Restaurant,4.5,14,40.146774,44.490906
Modi Art Cafe,4.0,4,40.187046,44.509693
Caucasus Tavern,4.0,463,40.233608,44.438183
DIVINO Wine Bar,4.0,19,40.188797,44.515408
Beirut Bar & Restaurant,4.5,21,40.189308,44.514820
Ayas-Kilikia,4.0,71,40.178711,44.521820
Old Friends Eco Tavern,4.0,11,40.176426,44.515366
New Astral Cafe,5.0,1,40.155704,44.524937
Bellagio Restaurant,4.5,34,40.192406,44.533051
Simona Bar,4.5,24,40.183823,44.507786
Hookah Town,5.0,3,40.182076,44.517334
Tun Lahmajo,4.5,183,40.182873,44.514538
Chaihona,4.0,109,40.182903,44.515026
Old Beijing,3.5,51,40.179764,44.521046
Art Lunch,0.0,0,40.173443,44.506088
MAMA JAN,5.0,3,40.174946,44.509510
Master Chef,5.0,5,40.180145,44.510796
Meeting Point Cafe,4.0,46,40.177864,44.511692
Real Yummy Bagels,1.0,1,40.182140,44.518318
Meloman Restaurant,4.0,6,40.188217,44.519718
Artashi Mot,4.0,355,40.171173,44.517700
Melrose Pub & Bar,4.5,30,40.182938,44.512314
W1neroom,5.0,1,40.187271,44.509979
The Park Cafe,4.0,32,40.188202,44.520382
Grammy,4.0,22,40.185532,44.516228
Abovyan 12,4.0,173,40.180832,44.516155
Arami Restaurant,5.0,16,40.180573,44.512329
Retro Cafe,4.0,51,40.190002,44.515503
Wheelbury Sweets,4.5,2,40.181881,44.512371
Grtnak,5.0,3,40.185131,44.509087
In Vino,5.0,586,40.186928,44.509029
EG Smoke Restaurant,5.0,1,40.185177,44.524120
Martini Royale,4.5,56,40.181736,44.516754
Pekin,3.5,7,40.180813,44.522575
Karap Cafe,4.0,5,40.175858,44.522923
Balatoon Cherry House,4.5,10,40.201988,44.497242
Karas Nor-Nork,3.5,17,40.200672,44.566261
Yerevan Tun,3.5,8,40.179699,44.516483
Kavkazskaya Plennitsa,4.0,1156,40.179485,44.510376
Falafel Al Darwandy,5.0,5,40.164471,44.513973
moscafe,4.0,41,40.182064,44.517334
Tsirani Home Restaurant,4.5,170,40.182034,44.515396
Espress It,0.0,0,40.183601,44.514446
Malocco Cafe,4.5,220,40.189018,44.514973
Giardino,5.0,4,40.192238,44.504166
Bake Point,4.5,2,40.189171,44.515869
Beer Academy Ethnograph,3.0,1,40.180801,44.515614
Family Cafe,0.0,0,40.183762,44.508060
Mon Cafe,4.0,39,40.179512,44.510651
Subtitle,4.0,19,40.189522,44.520065
Sedvi Tavern,5.0,5,40.184029,44.513645
Barcode,5.0,56,40.182842,44.510372
Karas National Food Chain,4.0,65,40.174709,44.521091
Aperitivo,4.5,147,40.188770,44.515228
Smak Salad,4.0,23,40.189274,44.517197
Basturma Cafe-Store,3.5,8,40.180969,44.515499
Lagonid Bistro-Cafe,4.5,100,40.183136,44.522511
Arabica,0.0,0,40.181709,44.513027
Monarch,4.5,14,40.189171,44.521637
Italiano Ristorante,4.0,7,40.180695,44.515244
Mr. Freeman - Bar & Eatery,0.0,0,40.184410,44.510044
Gastropolis,4.0,81,40.175934,44.509903
Mussa Restaurant & Cafe,0.0,0,40.187206,44.509918
Genacvale Pandok,4.5,108,40.177692,44.503006
Zangezur Family Restaurant,4.5,27,40.206699,44.527096
Cascade Royal,4.0,133,40.193089,44.514458
Charlisa Cafe Bakery,3.0,4,40.182346,44.515877
InFusion Bar & Restaurant,5.0,1,40.220470,44.494335
Rostinni,5.0,2,40.182949,44.516663
Genacvale Pandok,4.0,18,40.206367,44.506462
Dukhov Hakhtanak Tchasharan,0.0,0,40.171627,44.519241
Mansarda,4.0,1,40.188217,44.519718
Karloff Czech Brewery-Restaurant,4.0,47,40.187729,44.514000
Merhatsy Bakery,0.0,0,40.200043,44.497723
Roof18n,0.0,0,40.188797,44.513676
Oriento Restaurant,0.0,0,40.182686,44.520504
Ankyun,4.5,139,40.178852,44.517624
Mad Bar,0.0,0,40.186123,44.517208
Hin Areni Hall & Wine Bar,5.0,13,40.183380,44.519608
Ararat Pandok,5.0,15,40.184727,44.517830
Chinar restaurant,4.5,15,40.188076,44.511681
Fratelli Cafe,0.0,0,40.205193,44.517330
Zeituna,4.5,112,40.189487,44.514332
HyeLandz,4.5,25,40.153336,44.650574
Mimino Restaurant,4.0,58,40.178341,44.524754
Megerian Carpet Restaurant,4.5,17,40.155251,44.494148
Thai Take Away,0.0,0,40.175652,44.519497
Bar B.Q.,0.0,0,40.182690,44.512817
Beermood,0.0,0,40.184135,44.519394
Purple Rain Bar & Cafe,5.0,2,40.181633,44.512608
1st Floor,0.0,0,40.181000,44.515736
Masoor Restaurant,5.0,16,40.177097,44.515713
Mer Toune Restaurant,4.5,13,40.174229,44.456203
Grigoryan's,5.0,2,40.153191,44.499470
Yerevan Sky,0.0,0,40.199375,44.476452
Face Food,4.5,10,40.169563,44.513130
Life Food,5.0,18,40.183456,44.504292
Kamurj,4.5,2,40.162407,44.512642
Thaiwine Republic,4.5,42,40.181110,44.514759
Impresso Coffee Shop,4.0,78,40.178768,44.517746
Soho Place,5.0,4,40.175453,44.521767
Sabroso,4.0,6,40.186157,44.516533
HighRest Restaurant,5.0,22,40.183319,44.516144
Square One,4.0,169,40.179962,44.514347
CoffeeTalk,0.0,0,40.188137,44.513374
Shaurma Club Bistro,4.5,74,40.179134,44.510307
Karas National Food Chain,3.5,4,40.201099,44.501534
Fry Day,4.5,21,40.206211,44.518883
Ojax,4.0,5,40.188194,44.519882
Panda Hookah,4.0,25,40.187260,44.509296
Big Book,5.0,1,40.182228,44.524811
POS,0.0,0,40.188946,44.513073
Tumanyan Shaurma,0.0,0,40.206570,44.513107
Vino del Nord,4.0,5,40.183643,44.515240
Big And Tasty,5.0,36,40.175339,44.519855
Maza by Mandaloun,4.0,10,40.182903,44.512600
El Taco,5.0,2,40.182949,44.516663
Voski Restaurant,5.0,4,40.184006,44.519596
Baffles,5.0,2,40.171524,44.512978
Leo Cafe Restaurant,5.0,4,40.188858,44.518810
Wasabi,4.5,13,40.180000,44.514168
Zatar Pizza,4.5,88,40.175491,44.513332
Retro Bar,4.0,7,40.189819,44.515671
Lebanon Shawarma,3.0,10,40.182846,44.516685
Terrazza,4.5,62,40.188595,44.520222
Vienna Cafe and Kitchen,4.5,60,40.181484,44.515255
Artbridge Bookstore Cafe,4.5,142,40.182686,44.518314
Loft Room,4.0,14,40.180901,44.514732
Old Town,4.5,42,40.181393,44.510880
Qaghaq Pandok,4.0,17,40.175735,44.514244
Burger Bar,5.0,2,40.181274,44.518681
PaddonOK,5.0,1,40.185101,44.517521
View Cafe & Restaurant,5.0,4,40.186520,44.513744
Patio Restaurant,4.5,37,40.181435,44.515224
Gata Tavern,4.5,383,40.181419,44.518890
Lennon Gastro Pub,5.0,1,40.181110,44.507298
Kololak Restaurant,5.0,5,40.175186,44.521172
Bogossians’ Sweets Boutique,0.0,0,40.190464,44.479694
Sakurada,4.5,128,40.181381,44.519310
26 Irish Pub,4.0,23,40.185741,44.511589
Accent by Gayane Breiova,4.5,10,40.175404,44.508812
Cup O' Joy,0.0,0,40.206753,44.518520
Flagman,4.0,13,40.178719,44.524509
Elie's Lahmajun,5.0,46,40.174145,44.510857
Saint Tropez,3.5,12,40.185829,44.516048
Hookah Snake,0.0,0,40.182449,44.506699
Diamond Pizza,3.0,83,40.178715,44.513191
The Coast Yerevan,4.5,88,40.188911,44.515724
ARIES Modern Lunch Hall,0.0,0,40.155704,44.524937
Dialogue Cafe Restaurant,5.0,2,40.200424,44.521397
Milos Greek Tavern,4.5,38,40.181503,44.519817
Panorama Lounge Bar,4.5,11,40.174107,44.505638
Mozaic Sky Restaurant,4.5,170,40.175156,44.510075
Face Pub,0.0,0,40.182949,44.516663
Gini Restaurant,5.0,1,40.178860,44.506653
Saryan Notes,5.0,4,40.187046,44.509693
Hindenburg Pub,3.5,3,40.188988,44.513058
Abu Hagop Sandwich,4.0,6,40.183506,44.511814
August Cafeteria,4.0,68,40.189037,44.515751
Zion Kosher Restaurante,4.5,12,40.192024,44.503891
Mane Cocktail Bar,4.5,2,40.187107,44.509701
Bravo,5.0,2,40.200314,44.498657
Old Faeton,0.0,0,40.208366,44.529022
Jose Cafe Club Restaurant,4.0,57,40.175632,44.521606
La Folie,4.0,2,40.183308,44.519714
Koziryok,4.0,18,40.186569,44.514004
Tom Collins,4.5,22,40.182896,44.512039
1880 Bar & More,4.5,18,40.187946,44.510731
Yans,4.5,49,40.190361,44.524113
The Vineyard Restaurant,0.0,0,40.187828,44.522007
AKO Sushi,4.0,20,40.185242,44.516388
Dos Amigos Cafe Restaurant,1.0,1,40.183331,44.511452
GREENHOUSE,1.0,1,40.182285,44.514488
Monte Cristo,4.5,40,40.188999,44.500343
Monroe Cafe & Lounge,4.0,5,40.182064,44.517334
Dragon china restaurant,4.5,19,40.187031,44.513966
Tavern Yerevan,4.5,319,40.172958,44.511425
Sweet Mood,0.0,0,40.178501,44.519897
Laziz Armenia,5.0,1,40.178970,44.509483
PitStop Burger,4.5,6,40.184219,44.510391
M Cafe,3.0,7,40.183846,44.506950
Mangiare Restaurant Cafe and Bakery,4.5,7,40.174984,44.520130
Alaska by Hans&Franz,4.5,20,40.182995,44.508568
La Familia,4.5,6,40.212662,44.522587
Take Away Kitchen-Shop,5.0,2,40.186440,44.513153
PH Lounge Cafe,4.5,7,40.185020,44.514626
Metelitsa,3.0,1,40.182087,44.509335
Pharaon Restaurant,4.0,9,40.253456,44.592052
Verona,4.5,18,40.186413,44.522789
Samurai Sushi Bar,3.5,23,40.188889,44.513996
Rehan Cafe & Restaurant,0.0,0,40.189552,44.514069
Red Rock Music Pub,5.0,2,40.180588,44.520195
MacGuffin Art House,3.5,6,40.185093,44.510727
Santa Fe,3.0,60,40.188038,44.515255
Mary Bakery,4.5,2,40.179012,44.509857
Bonapart Cafe & Pastry Shop,5.0,4,40.186577,44.511742
Coffee Charge by Diamond,4.0,1,40.175983,44.517441
MEZZO,4.5,206,40.188557,44.520302
Armhookah,5.0,16,40.183613,44.514084
Sicilia Restaurant,5.0,6,40.204735,44.502728
Ost Bistro,4.5,60,40.181049,44.508194
Marilda Restaurant & Café,4.5,12,40.187202,44.515209
Karma Indian Restaurant,4.0,147,40.185951,44.518250
Drakht Restaurant,4.0,5,40.209286,44.559933
Dream's Music Cafe,0.0,0,40.182228,44.520348
Urban Beerhouse & Restaurant,4.0,9,40.178810,44.504852
SteakOut Grill House,0.0,0,40.189064,44.518398
Voodoo Hookah Lounge,5.0,52,40.178234,44.527554
JJ Lounge Club,0.0,0,40.183899,44.515057
Black Star Burger,4.0,65,40.179855,44.514030
Dolma Restaurant,5.0,6,40.220047,44.491371
Rush Music Club,4.5,3,40.179794,44.506306
Tavern Ani,4.0,22,40.179943,44.522552
Snezhinka,3.0,5,40.183128,44.519634
Triumph,3.5,28,40.188385,44.519817
Pandok N1,0.0,0,40.170044,44.507523
Florence Restaurant,4.5,33,40.194504,44.481319
La Casa Trattoria,0.0,0,40.182629,44.514153
Tarber,5.0,6,40.178917,44.521492
Salon Armenian Restaurant,4.0,107,40.180649,44.515404
Novella Music Hall,4.5,2,40.182320,44.524918
Viniro-Wine Cafe,2.0,1,40.182758,44.514149
Akhtamar Restaurant,5.0,3,40.170181,44.516708
ZaNaZaN,5.0,5,40.186085,44.508106
Yerevan Nights,3.5,16,40.172508,44.498684
Old School Pub,0.0,0,40.182205,44.518105
Bibar,5.0,5,40.182949,44.516663
