Restaurant Names,Rating,Rating Count,Latitude,Longitude
Just Cafe,4.0,21,40.181976,44.514473
Time To Eat,5.0,1,40.169765,44.507385
Apres Meat Products,0.0,0,40.178982,44.521786
Paulaner,4.0,108,40.190117,44.515522
Karas - Auto,5.0,3,40.190498,44.462963
Dos Amigos Hot Wings,0.0,0,40.186409,44.513214
Elvis Cafe,4.0,2,40.175674,44.521645
Claude Monet Yerevan,0.0,0,40.174961,44.521725
Tumanyan Khinkali,4.5,1574,40.183182,44.516136
Taroni Ojakh,0.0,0,40.182720,44.498981
Kavkazskaya Plennitsa,3.5,83,40.182220,44.520954
Anoush Restaurant,4.5,375,40.179390,44.509251
Dargett Craft Beer,4.5,510,40.183640,44.508110
Indian Mehak Restaurant & Bar,5.0,375,40.199318,44.536457
Akori,5.0,133,40.186649,44.486786
Pandok Mets Hayq,4.5,7,40.162498,44.512424
Family House,5.0,76,40.180634,44.507488
Mane Garden Restaurant,5.0,2,40.180065,44.502579
Tavern Yerevan,5.0,966,40.188828,44.521564
Avenue by L'Orange,4.5,33,40.182255,44.515438
Jaco Restaurant,4.0,13,40.202328,44.494610
Lahmajun Gaidz,4.5,70,40.179859,44.519604
Tavern Yerevan,4.5,361,40.178814,44.501747
Genacvale Pandok,4.5,9,40.185047,44.524097
Old Jrvezh Armenia,4.5,63,40.191261,44.588612
Cafe Delice,4.5,11,40.191982,44.505405
Parking,4.5,2,40.187202,44.515209
BlackFish SushiDelivery,0.0,0,40.133091,44.530090
Straus Business Cafe,5.0,4,40.173840,44.505684
Beatles Pub Yerevan,4.5,23,40.185432,44.509026
Art Lunch Mergelyan branch,0.0,0,40.179615,44.525181
Coffee ROOM,0.0,0,40.199692,44.565502
Yellow YERAZ,0.0,0,40.178230,44.515453
Baba Ghanouj,0.0,0,40.183804,44.500576
The Capital,0.0,0,40.184830,44.512043
Ouloung Restaurant-Club,4.5,7,40.178780,44.500175
Hacker Pschorr Munchen Grill House Yerevan,4.0,29,40.190254,44.515144
Rio Bar,5.0,5,40.186401,44.507435
Livingston Restaurant,5.0,76,40.188568,44.483521
Ai Leoni Bar Ristorante Italiano,4.5,55,40.186611,44.511639
Vincent Lobby Bar,0.0,0,40.175423,44.508812
Local's Coffee & Eatery,4.5,11,40.155060,44.499634
SANTAFE,4.0,17,40.187962,44.515251
Genacvale Pandok,4.5,81,40.195248,44.488300
Jazzve Cafe,3.5,207,40.186829,44.510998
Pahest33,3.5,28,40.187874,44.515724
Caucasus Tavern,4.0,100,40.179527,44.522751
2 Lives,0.0,0,40.187199,44.512436
Wine Republic,4.5,454,40.189259,44.516045
Centrico Cascade,4.5,2,40.189480,44.513935
Katsa,5.0,361,40.178684,44.504875
OPERA Club-Restaurant,0.0,0,40.186302,44.515175
Soul Kitchen Yerevan,5.0,1,40.183605,44.510677
Buffalo Grill Bar,4.0,36,40.178329,44.520481
Peacock Cafe,4.5,9,40.181969,44.514469
"Hugo Bar, Restaurant & Cafe",4.5,22,40.180134,44.515621
Nubara Family Restaurant,5.0,15,40.216599,44.577007
KAV Restaurant and Guest House,5.0,5,40.176598,44.493519
Ararat View-Garden,0.0,0,40.175331,44.557949
Malkhas Jazz Club.,4.0,334,40.184265,44.510460
Sushi Salon,0.0,0,40.197197,44.518955
La Cucina,4.5,130,40.185287,44.517658
Hookah Boss,4.0,9,40.187202,44.509457
54 Hookah & More,5.0,2,40.188984,44.514980
HOUL,5.0,7,40.171799,44.511890
Shirvan Persian Halal Restaurant,4.0,22,40.183205,44.516327
The Key,5.0,3,40.184616,44.509563
Jano Restaurant,4.5,31,40.159775,44.511906
Rock.n.Bite,5.0,2,40.182774,44.520733
Roomz,4.5,5,40.182266,44.513451
Hookah Place Yerevan,5.0,9,40.187477,44.513664
Montale Lounge Cafe,4.0,20,40.184792,44.514801
Art Lunch (Payte Tnak),0.0,0,40.180614,44.518616
Latar Restaurant,3.5,7,40.216423,44.439240
Eden Cafe Pub,4.5,60,40.189171,44.515190
Tashir Pizza,3.0,127,40.189041,44.517899
Noyan Restaurant,4.5,27,40.185303,44.510750
Provence Cafe Restaurant,4.5,50,40.180813,44.515503
FABER GE CAFE Boutique,4.0,11,40.184406,44.510311
AURA Tavern,0.0,0,40.199936,44.493645
Aragast,4.0,6,40.188393,44.519196
Old Monument Restaurant,0.0,0,40.199589,44.521191
Fourchette Buffet,4.0,23,40.186966,44.513641
Mary's Kitchen Burgers,4.0,1,40.185398,44.508579
Yeraz,4.0,4,40.219574,44.529976
Renoir,0.0,0,40.185734,44.520882
Pizza Toria Yerevan,4.0,78,40.182266,44.517944
Cactus Restaurant,4.5,171,40.184902,44.512936
Blue Sky,5.0,6,40.197559,44.519073
Bellavista Italia,5.0,6,40.183662,44.514603
Enoteca EVN,4.5,69,40.182537,44.513142
Smoothie,0.0,0,40.183796,44.519184
Cafe Aznavour,5.0,1,40.204346,44.517097
Blueberry,5.0,3,40.181110,44.516109
KFC,4.5,23,40.205757,44.505077
Karas National Food Chain,5.0,63,40.182720,44.516678
Beijing,3.0,12,40.178856,44.515114
DOC Therapy Bar,5.0,9,40.181320,44.514847
Achajour Cafe,4.0,58,40.190952,44.506428
Chaman Home-Restaurant,5.0,14,40.179413,44.502239
BAR-BAR Bar and Restaurant,4.5,9,40.180969,44.510086
Tapastan,4.5,303,40.186771,44.508747
Rooms by Famous,0.0,0,40.184086,44.526688
Chez Hratch,5.0,90,40.185585,44.511250
Barrrut,5.0,1,40.179768,44.520889
Tap Station,4.0,12,40.178329,44.511017
Safran restaurant,4.0,50,40.176060,44.514713
The Loft  Cocktails Hookah Hause,5.0,3,40.173744,44.516533
Vegas Restaurant Seafood & More,5.0,13,40.178844,44.521626
Greek House,5.0,1,40.172672,44.511227
Tasty Indian Restaurant,0.0,0,40.211685,44.524357
Bertiz Cafeteria & Restaurant,4.0,7,40.182941,44.512348
DO RE MI,5.0,1,40.186115,44.525829
MGM Restaurant,0.0,0,40.191566,44.588593
Vernatun,4.0,23,40.179798,44.516525
Genacvale Pandok,4.5,4,40.206139,44.500683
Tumanyan Shaurma,4.5,3,40.171871,44.513172
Mr. Hookah,4.5,21,40.181282,44.507214
Rooby Cafe Cascade,4.0,32,40.189919,44.515831
Karas,4.0,13,40.154823,44.500015
The Club Yerevan,4.5,694,40.186474,44.511944
Tavern Melnitsa,3.5,51,40.178909,44.523872
Kamoun.Am,5.0,1,40.178280,44.509384
Lavash Restaurant Yerevan,5.0,2818,40.182999,44.516357
Odalen,5.0,18,40.215294,44.493645
Nathan's Famous Armenia,0.0,0,40.155331,44.499901
The Old House,4.5,80,40.178741,44.515175
Segafredo Zanetti Espresso,4.0,88,40.183857,44.514996
Ristorante Marina Stile Italiano,4.0,15,40.189384,44.514717
Sushi Kushi,3.5,6,40.182949,44.516663
Voskevaz Wine Time,4.5,80,40.186695,44.508724
Smoking Chef Grill & Wine,4.5,120,40.185760,44.507915
Rena Restaurant,4.5,2,40.154533,44.484039
Kantegh Restaurant Complex,4.0,5,40.176929,44.507084
Tbiliso Restaurant,4.0,15,40.179924,44.502728
The Corner Cafe,4.5,10,40.184097,44.516167
Pome Tree,5.0,55,40.179832,44.510605
Eastern Cuisine,3.5,24,40.202057,44.496758
Bazaar Restaurant,5.0,13,40.181068,44.514740
Bulldog Pub,4.5,4,40.187023,44.512199
2nd Floor,4.5,37,40.180946,44.515476
Art Lunch,0.0,0,40.187260,44.516876
AnnCake,5.0,5,40.180489,44.520420
Charlie Public House,5.0,22,40.186367,44.513557
Diamond Restaurant,3.5,122,40.179165,44.513180
Suteki Sushi Bar,5.0,2,40.174339,44.510323
Kebabistan,5.0,2,40.185528,44.511234
Shame GastroBar,5.0,89,40.178825,44.506302
LUPIN Boba,0.0,0,40.205074,44.504425
Art Lunch,0.0,0,40.197231,44.493622
Labeerint Beer Restaurant,3.0,23,40.186520,44.512653
Lamadjo House,0.0,0,40.179951,44.512184
Don Fish Restaurant,0.0,0,40.206562,44.574150
Amar Cafe And Rest Area,5.0,3,40.189762,44.499779
Ginovkats Wine House,3.5,37,40.182236,44.515610
Cafe XV,4.5,34,40.180080,44.511379
Eat Meat Restaurant,0.0,0,40.189934,44.520416
Tufenkian Kharpert Restaurant,4.5,133,40.176701,44.516716
Empire Hookah Lounge,5.0,5,40.184017,44.513641
One Yerevan Gastro pub,5.0,7,40.184597,44.512001
Hookah Boss,5.0,1,40.187405,44.509609
Tumanyan Shaurma,4.0,1,40.155563,44.499371
Restaurant Seasons,4.5,71,40.182331,44.509022
Dine Sky,5.0,6,40.157681,44.501526
L'Orange Azur,5.0,13,40.188374,44.517990
Goody's Burger House Armenia,4.0,27,40.180618,44.514225
Saykimchi,0.0,0,40.186466,44.512596
Yasaman Yerevan's Restaurant,4.5,31,40.184586,44.507744
Arvestanots Art Cafe,5.0,2,40.182209,44.518093
Avtobus Cafe,5.0,2,40.178234,44.514622
Hookah Place,4.5,9,40.187130,44.513573
Татик Папик,4.0,7,40.176857,44.517788
Tashir Pizza,3.0,23,40.180832,44.514572
La Fayette Restaurant,5.0,39,40.185780,44.548588
Sayat-Nova Tavern,5.0,44,40.177433,44.526966
Station Pub,5.0,7,40.185371,44.511051
Ace of Spades Bar & Grill,5.0,36,40.186954,44.512188
Gamardzhoba,4.5,8,40.187004,44.513607
New Spidag,5.0,2,40.188259,44.513950
Eight18n Cocktail Bar & Bites,5.0,21,40.187359,44.510242
Aleppo Cuisine,0.0,0,40.184208,44.513512
Tsirani Garden Restaurant,4.5,210,40.229450,44.598133
Mandaloun,4.5,11,40.179428,44.516991
Garun Healthy Food Cafe,5.0,80,40.182751,44.517017
Say Cheese,5.0,152,40.183033,44.504517
Twelve Tables,5.0,48,40.186943,44.512169
Jazzve,3.0,32,40.185162,44.514286
Taboule Lebanese Restaurant,4.5,106,40.176476,44.505749
Parvana,3.5,76,40.189335,44.493031
Shirak Restaurant,4.0,14,40.177296,44.508011
Jean-Paul Existential Cafe,4.5,18,40.180595,44.512436
Vienna ribs,4.5,86,40.183865,44.504875
Martiros,4.5,35,40.186962,44.508862
dors city point,5.0,4,40.189785,44.515038
Shawarma Land,0.0,0,40.183098,44.510418
Zhinglyanov Hats,4.5,223,40.187004,44.519478
Noyan Tun,4.5,91,40.180752,44.508488
Picasso Yerevan,5.0,71,40.181889,44.511452
Oliva Restaurant,4.5,34,40.182140,44.511452
jrvej Tavern,5.0,3,40.186623,44.603939
Anteb,4.5,342,40.181950,44.511501
Go Green Armenia,5.0,1,40.218018,44.573856
ATTOR Buffet & Restaurant,0.0,0,40.174850,44.514030
37 Beer And Meat,4.5,93,40.185841,44.513500
Mayrig Yerevan,4.5,151,40.180202,44.511086
Ararat Restaurant,4.0,83,40.178093,44.512665
El Torro,5.0,1,40.186760,44.508457
Beer Yard,0.0,0,40.144604,44.533810
Magic Doors,4.5,12,40.184315,44.510052
Derian Restaurant,4.5,84,40.175949,44.517059
Paparazzi Cafe,4.5,33,40.181274,44.515820
Sandwich House,4.5,6,40.188015,44.513905
Studio Cafe,4.5,43,40.189941,44.515640
Art Lunch,4.0,6,40.179615,44.525181
Back To Black,5.0,3,40.178669,44.514973
Fourchette Buffet,5.0,1,40.180386,44.508747
Life Cafe,5.0,2,40.179813,44.523258
Pomidoro,5.0,9,40.206596,44.512661
Pastrami,5.0,55,40.185936,44.512806
Tomas Smokey Ribs,3.5,49,40.177135,44.517273
Beijing Cascade,3.0,26,40.188763,44.515713
Bora Bora Show Club,5.0,1,40.185219,44.516087
Burger Pub,4.0,1,40.186241,44.518887
Flavours of India,4.5,4,40.199142,44.518665
Vanatour Restaurant,5.0,2,40.188301,44.594395
Koriz Restaurant,5.0,19,40.220425,44.573383
Casa Nostra,5.0,32,40.183243,44.507114
Cafe Champagne,5.0,5,40.184082,44.511154
EL Garden,4.5,627,40.186691,44.481380
KONG Cafe & Cocktail Room,5.0,30,40.180943,44.515442
StarBus Coffee,5.0,6,40.185036,44.510208
Navavar & Jean-Paul Existential Cafe,4.5,53,40.180618,44.512451
Feyrouz,0.0,0,40.179382,44.513668
Cheesy Cafe,4.5,95,40.183025,44.514774
CRUMBS Bread Factory,4.5,532,40.186291,44.513645
Hookahtown Lounge/Cafe,5.0,2,40.181900,44.517139
Dragon Garden,4.5,95,40.183823,44.508015
Vahakni Restaurant,4.5,11,40.220451,44.457272
"""TAO"" Chinese and Japanese Cuisine Restaurant",4.0,29,40.179840,44.521076
Bisquit Dessert Bar,0.0,0,40.212780,44.522339
Antarayin Dzayner,0.0,0,40.203606,44.501217
Granada,5.0,2,40.180115,44.515682
Art Lunch,0.0,0,40.205917,44.521400
No Sugar,0.0,0,40.180824,44.519871
Atmosphere Cafe,3.5,7,40.183582,44.513008
King Garden,5.0,4,40.177433,44.526405
GotCha Boba Bar,4.5,4,40.192417,44.515514
Charles Cafe & Restaurant,4.5,189,40.189899,44.515446
Natura Gold,4.0,38,40.182964,44.517624
Abovyan 23 Parisienne,4.0,1,40.185539,44.520557
4TEEN Cafe and Restaurant,5.0,1,40.180164,44.527351
Grill House,3.5,11,40.180183,44.510773
Fish House,4.5,51,40.183865,44.515068
Hacatun 73,5.0,1,40.159393,44.429054
Tospia Restaurant,4.5,362,40.182919,44.517082
Big Book,5.0,2,40.189335,44.521633
Munchies,0.0,0,40.181328,44.516048
The Green Bean,4.5,537,40.180164,44.509079
Kuj Restaurant,4.5,15,40.203869,44.501766
Mer Taghe,4.5,193,40.183300,44.516216
Roof Cafe & Restaurant,4.0,2,40.142365,44.522453
Marshal Music Pub,1.0,1,40.189163,44.512962
Arevik Lounge,5.0,3,40.199467,44.514179
Sasnatun,4.0,18,40.173168,44.511223
CEO3,4.5,70,40.189285,44.514297
Elen Restaurant,4.5,29,40.180828,44.506939
Sinatra Restaurant,5.0,7,40.189251,44.512379
Muraba,5.0,12,40.188236,44.512192
Classic Burger Yerevan,5.0,15,40.182552,44.514008
Dolmama Restaurant,4.5,914,40.180492,44.515926
Restaurant Araks Old House,4.5,27,40.183174,44.516041
Surf Yerevan,5.0,4,40.189167,44.516994
Wild West Pub,5.0,30,40.185505,44.516926
Voske Pataraqagh,0.0,0,40.178185,44.501080
Havana Restaurant & Club,5.0,289,40.190350,44.480988
Tumanyan Shaurma,0.0,0,40.197025,44.567696
KARS,5.0,10,40.188610,44.522499
Ktoor,4.5,5,40.183899,44.504852
Ost Food Court,5.0,4,40.186077,44.507530
Lunch House,5.0,19,40.187637,44.521252
Grammy Hall,5.0,1,40.181866,44.516586
EVN Diner,5.0,15,40.186852,44.512142
Beer Academy,4.5,154,40.188721,44.518280
Taj Indian Restaurant,0.0,0,40.208008,44.508728
Arshavner Club,5.0,5,40.181511,44.512745
The VIEW Lounge,4.0,4,40.182777,44.515171
India Palace,4.5,56,40.178814,44.510506
Podwall,5.0,7,40.184113,44.511196
Depot by Voodoo,5.0,8,40.188179,44.511314
Tamzara,4.5,7,40.176216,44.514553
Yerankyuni Home-Restaurant,5.0,1,40.190758,44.474316
Bakeriez,0.0,0,40.188011,44.511524
Old Erivan,0.0,0,40.184181,44.514565
44 Venue,5.0,6,40.183311,44.511997
Mint,5.0,1,40.182644,44.520412
Vostan Restaurant,4.5,212,40.180065,44.514950
Astral Cafe,4.5,8,40.185150,44.516106
Halebi Napoli Pour,5.0,1,40.169689,44.517570
Liban,4.5,136,40.177540,44.507416
Adzoukh,5.0,282,40.180660,44.510017
12 Ktor Pizza,3.5,11,40.179985,44.507133
Qaghaqic Durs Restaurant,5.0,3,40.179817,44.502636
Givi 2 Me Georgian Cuisine,4.5,56,40.186272,44.516655
Sophiste,5.0,29,40.188847,44.514984
Bourj Hammoud,5.0,8,40.188969,44.513138
Sushi Toria Yerevan,4.0,60,40.186153,44.516567
Centro Cafe,0.0,0,40.182850,44.509045
Cafe Central,4.5,201,40.184921,44.520710
Jan Burger,5.0,1,40.183784,44.508141
Merlot Wine Restaurant,0.0,0,40.183029,44.514500
NewTone Park,5.0,1,40.205395,44.479969
Bel Etage,4.5,91,40.187298,44.514011
Valensia Restaurant,5.0,1,40.206207,44.561100
Karas,4.0,136,40.179039,44.513451
Barocco Hall,5.0,4,40.184204,44.496460
dors craft beer & kitchen,5.0,135,40.180470,44.510857
Kyoto Lounge Yerevan,4.0,31,40.186138,44.512501
Karas Tumanyan,0.0,0,40.182720,44.516678
Jockey Restaurant & Cafe,2.0,1,40.148865,44.451328
Kilikia Beerhouse,4.5,60,40.180660,44.515301
Tavern Yerevan,4.5,2508,40.179108,44.510284
Cafe de Flore,0.0,0,40.179985,44.524227
Epicure,4.5,54,40.182701,44.512901
Mamoor Restaurant,4.5,110,40.181080,44.515987
Artbridge,4.5,11,40.182728,44.518082
Bianco,0.0,0,40.184330,44.520081
Aries Lunch AUA Business Center,4.0,7,40.176933,44.524448
WineRest,0.0,0,40.187542,44.509956
Dvin restaurant,4.0,2,40.182949,44.516663
Dom By Eg,3.0,12,40.186722,44.508533
At Gayane's,4.5,140,40.186707,44.509903
Pitsa Pazta,5.0,1,40.181187,44.518265
Harich Restaurant,0.0,0,40.203728,44.528912
Art Lunch,0.0,0,40.189022,44.523376
Kamancha Restaurant,4.5,54,40.184242,44.514088
Gouroo Club & Garden,4.5,167,40.186333,44.508404
Lebanon,4.5,46,40.189445,44.514980
Karas national food chain,5.0,10,40.154823,44.510113
Fabrica,5.0,82,40.186405,44.508659
8th Wonder Restaurant,3.5,5,40.180462,44.496807
Tumanyan Shaurma,0.0,0,40.206612,44.512936
Casa de Espana,4.5,36,40.188511,44.518089
Pepper Burger Bar,4.5,9,40.185093,44.510548
Tashir Pizza,2.0,1,40.174335,44.510445
Tavern Yerevan Riverside,5.0,233,40.172729,44.498272
Club Burger,0.0,0,40.188435,44.521515
